type, source, target, ability, aid, hitType, amount, notes, timestamp
heal, 11, 3, Beacon of Light, 53652, 1, 9900, , 1104171
heal, 11, 3, Beacon of Light, 53652, 1, 4950, , 1104173
applybuff, 11, 3, Illuminated Healing, 86273, , , , 1104173
heal, 11, 3, Beacon of Light, 53652, 1, 4950, , 1104193
heal, 11, 3, Beacon of Light, 53652, 1, 1485, , 1104193
cast, 3, , Gift of the Ox, 178173, , , , 1104368
heal, 3, 3, Expel Harm, 115072, 2, 29435, , 1104573
energize, 3, 3, Expel Harm, 115072, , 1, , 1104574
cast, 3, , Expel Harm, 115072, , , , 1104576
energize, 3, 3, Chi Sphere, 121283, , 1, , 1104610
removebuff, 3, 3, Power Strikes, 129914, , , , 1104610
damage, 3, 56, Expel Harm, 115129, 1, 9714, 0, 1104613
heal, 3, 3, Leech, 143924, 1, 0, , 1104754
cast, 56, 3, Melee, 1, , , , 1104802
absorbed, 3, 3, Stance of the Sturdy Ox, 115069, , 70044, , 1104803
absorbed, 11, 3, Illuminated Healing, 86273, , 7654, , 1104803
removebuff, 11, 3, Illuminated Healing, 86273, , , , 1104803
damage, 56, 3, Melee, 1, 1, 50018, 77698, 1104805
heal, 2, 3, Ysera's Gift, 145110, 1, 12797, , 1104834
cast, 12, 3, Power Word: Shield, 17, , , , 1105018
applybuff, 12, 3, Body and Soul, 65081, , , , 1105018
applybuff, 12, 3, Power Word: Shield, 17, , , , 1105020
applydebuff, 12, 3, Weakened Soul, 6788, , , , 1105046
absorbed, 12, 3, Power Word: Shield, 17, , 23945, , 1105094
damage, 3, 3, Stagger, 124255, 3, 0, 23945, 1105094
heal, 11, 3, Beacon of Light, 53652, 1, 1321, , 1105193
removedebuff, 3, 3, Moderate Stagger, 124274, , , , 1105282
cast, 3, , Purifying Brew, 119582, , , , 1105286
cast, 11, 3, Holy Shock, 20473, , , , 1105316
heal, 11, 3, Holy Shock, 25914, 2, 34061, , 1105316
applybuff, 11, 3, Illuminated Healing, 86273, , , , 1105341
heal, 3, 3, Zen Sphere, 124081, 1, 1839, , 1105590
heal, 3, 3, Zen Sphere, 124081, 1, 0, ms, 1105590
refreshbuff, 3, 3, Tiger Power, 125359, , , , 1105590
cast, 3, 56, Tiger Palm, 100787, , , , 1105590
damage, 3, 56, Zen Sphere, 124098, 1, 729, 0, 1105590
damage, 3, 56, Tiger Palm, 100787, 1, 6610, 0, 1105590
damage, 3, 56, Tiger Palm, 100787, 2, 3967, ms, 1105921
heal, 3, 3, Leech, 143924, 1, 0, , 1105974
damage, 3, 56, Tiger Palm, 100787, 1, 1984, ms, 1106242
cast, 56, 3, Melee, 1, , , , 1106300
damage, 56, 3, Melee, 1, 8, 0, 0, 1106300
applybuff, 3, 3, Serenity, 152173, , , , 1106509
cast, 3, , Serenity, 152173, , , , 1106511
cast, 3, 56, Melee, 1, , , , 1106538
damage, 3, 56, Melee, 1, 2, 12279, 0, 1106539
applybuff, 3, 3, Elusive Brew, 128939, , , , 1106539
applybuffstack, 3, 3, Elusive Brew, 128939, , 2, , 1106542
applybuffstack, 3, 3, Elusive Brew, 128939, , 3, , 1106542
summon, 3, 44, Invoke Xuen, the White Tiger, 132578, , , , 1106652
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1106742
cast, 3, 56, Blackout Kick, 100784, , , , 1106857
damage, 3, 56, Blackout Kick, 100784, 1, 11774, 0, 1106858
energize, 3, 3, Serenity, 157558, , 2, , 1106858
cast, 11, 3, Holy Light, 82326, , , , 1107119
heal, 11, 3, Holy Light, 82326, 1, 0, , 1107119
refreshbuff, 11, 3, Illuminated Healing, 86273, , , , 1107126
heal, 3, 3, Leech, 143924, 1, 0, , 1107186
applybuff, 12, 3, Prayer of Mending, 41635, , , , 1107370
cast, 3, , Gift of the Ox, 178173, , , , 1107524
heal, 3, 3, Zen Sphere, 124081, 1, 0, , 1107581
damage, 3, 56, Zen Sphere, 124098, 1, 730, 0, 1107592
cast, 56, 3, Melee, 1, , , , 1107808
applydebuff, 3, 3, Light Stagger, 124275, , , , 1107810
absorbed, 3, 3, Stance of the Sturdy Ox, 115069, , 73017, , 1107813
absorbed, 11, 3, Illuminated Healing, 86273, , 16320, , 1107813
absorbed, 12, 3, Power Word: Shield, 17, , 30888, , 1107813
removebuff, 12, 3, Power Word: Shield, 17, , , , 1107813
removebuff, 11, 3, Illuminated Healing, 86273, , , , 1107813
removebuff, 12, 3, Prayer of Mending, 41635, , , , 1107815
damage, 56, 3, Melee, 1, 1, 12912, 120225, 1107817
heal, 12, 3, Prayer of Mending, 33110, 1, 10664, , 1107838
cast, 3, 56, Blackout Kick, 100784, , , , 1107843
damage, 3, 56, Blackout Kick, 100784, 2, 23979, 0, 1107853
energize, 3, 3, Serenity, 157558, , 2, , 1107853
cast, 11, 3, Holy Shock, 20473, , , , 1108043
heal, 11, 3, Holy Shock, 25914, 2, 2248, , 1108043
applybuff, 11, 3, Illuminated Healing, 86273, , , , 1108071
damage, 3, 56, Blackout Kick, 100784, 1, 3597, ms, 1108156
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1108266
heal, 3, 3, Leech, 143924, 1, 0, , 1108408
cast, 3, 56, Melee, 1, , , , 1108466
damage, 3, 56, Melee, 1, 2, 12508, 0, 1108466
applybuffstack, 3, 3, Elusive Brew, 128939, , 4, , 1108466
applybuffstack, 3, 3, Elusive Brew, 128939, , 5, , 1108468
applybuffstack, 3, 3, Elusive Brew, 128939, , 6, , 1108469
removebuff, 2, 3, Moonkin Aura, 24907, , , , 1108793
absorbed, 11, 3, Illuminated Healing, 86273, , 7302, , 1108818
damage, 3, 3, Stagger, 124255, 3, 0, 7302, 1108819
cast, 3, 56, Blackout Kick, 100784, , , , 1108857
damage, 3, 56, Blackout Kick, 100784, 1, 11758, 0, 1108858
energize, 3, 3, Serenity, 157558, , 2, , 1108858
applybuff, 3, 3, Strength of Steel, 162917, , , , 1108864
applybuff, 3, 3, Power Strikes, 129914, , , , 1108867
removebuff, 12, 3, Body and Soul, 65081, , , , 1108996
cast, 56, 3, Melee, 1, , , , 1109332
damage, 56, 3, Melee, 1, 8, 0, 0, 1109332
heal, 3, 3, Zen Sphere, 124081, 1, 0, , 1109597
damage, 3, 56, Zen Sphere, 124098, 2, 1459, 0, 1109597
heal, 3, 3, Leech, 143924, 1, 0, , 1109658
cast, 3, 56, Melee, 1, , , , 1109680
damage, 3, 56, Melee, 1, 2, 12013, 0, 1109680
applybuffstack, 3, 3, Elusive Brew, 128939, , 7, , 1109680
applybuffstack, 3, 3, Elusive Brew, 128939, , 8, , 1109681
applybuffstack, 3, 3, Elusive Brew, 128939, , 9, , 1109682
absorbed, 11, 3, Illuminated Healing, 86273, , 776, , 1109845
removebuff, 11, 3, Illuminated Healing, 86273, , , , 1109845
damage, 3, 3, Stagger, 124255, 1, 6526, 776, 1109847
heal, 11, 3, Beacon of Light, 53652, 1, 1322, , 1109847
heal, 2, 3, Ysera's Gift, 145110, 1, 5204, , 1109852
cast, 3, 56, Blackout Kick, 100784, , , , 1109854
damage, 3, 56, Blackout Kick, 100784, 2, 24711, 0, 1109864
energize, 3, 3, Serenity, 157558, , 2, , 1109864
cast, 11, 3, Holy Light, 82326, , , , 1110342
heal, 11, 3, Holy Light, 82326, 1, 0, , 1110342
applybuff, 11, 3, Illuminated Healing, 86273, , , , 1110343
cast, 56, 3, Melee, 1, , , , 1110811
absorbed, 11, 3, Illuminated Healing, 86273, , 7302, , 1110811
damage, 3, 3, Stagger, 124255, 3, 0, 7302, 1110811
absorbed, 3, 3, Stance of the Sturdy Ox, 115069, , 66495, , 1110811
absorbed, 11, 3, Illuminated Healing, 86273, , 1117, , 1110811
removebuff, 11, 3, Illuminated Healing, 86273, , , , 1110812
damage, 56, 3, Melee, 1, 1, 53633, 67612, 1110814
cast, 3, 56, Blackout Kick, 100784, , , , 1110872
damage, 3, 56, Blackout Kick, 100784, 1, 12020, 0, 1110890
heal, 3, 3, Leech, 143924, 1, 630, , 1110890
energize, 3, 3, Serenity, 157558, , 2, , 1110890
removebuff, 3, 3, Archmage's Incandescence, 177161, , , , 1111056
damage, 3, 56, Blackout Kick, 100784, 1, 3607, ms, 1111234
heal, 11, 3, Beacon of Light, 53652, 1, 1185, , 1111381
heal, 3, 3, Zen Sphere, 124081, 2, 3747, , 1111599
damage, 3, 56, Zen Sphere, 124098, 2, 1352, 0, 1111625
cast, 3, 56, Melee, 1, , , , 1111652
damage, 3, 56, Melee, 1, 1, 5791, 0, 1111652
removedebuff, 3, 3, Light Stagger, 124275, , , , 1111686
cast, 3, , Purifying Brew, 119582, , , , 1111691
energize, 3, 3, Serenity, 157558, , 1, , 1111710
cast, 3, 56, Blackout Kick, 100784, , , , 1111865
damage, 3, 56, Blackout Kick, 100784, 2, 22983, 0, 1111866
energize, 3, 3, Serenity, 157558, , 2, , 1111866
heal, 3, 3, Leech, 143924, 1, 847, , 1112081
cast, 56, 3, Melee, 1, , , , 1112325
applydebuff, 3, 3, Light Stagger, 124275, , , , 1112326
absorbed, 3, 3, Stance of the Sturdy Ox, 115069, , 61730, , 1112329
damage, 56, 3, Melee, 1, 1, 50827, 61730, 1112331
heal, 11, 3, Beacon of Light, 53652, 1, 16265, , 1112687
heal, 11, 3, Beacon of Light, 53652, 1, 4879, , 1112687
heal, 11, 3, Beacon of Light, 53652, 1, 7692, , 1112772
heal, 12, 3, Atonement, 81751, 1, 146, , 1112772
cast, 3, 56, Blackout Kick, 100784, , , , 1112857
damage, 3, 56, Blackout Kick, 100784, 2, 22161, 0, 1112858
energize, 3, 3, Serenity, 157558, , 2, , 1112858
heal, 11, 3, Beacon of Light, 53652, 1, 592, , 1112891
heal, 11, 3, Beacon of Light, 53652, 1, 177, , 1112891
applybuff, 52, 3, Time Warp, 80353, , , , 1113052
applydebuff, 3, 3, Temporal Displacement, 80354, , , , 1113052
heal, 3, 3, Leech, 143924, 1, 380, , 1113298
cast, 3, , Gift of the Ox, 178173, , , , 1113326
damage, 3, 3, Stagger, 124255, 1, 6173, 0, 1113327
cast, 3, 56, Melee, 1, , , , 1113412
damage, 3, 56, Melee, 1, 2, 11479, 0, 1113437
applybuffstack, 3, 3, Elusive Brew, 128939, , 10, , 1113437
applybuffstack, 3, 3, Elusive Brew, 128939, , 11, , 1113439
heal, 3, 3, Zen Sphere, 124081, 1, 1765, , 1113579
damage, 3, 57, Zen Sphere, 124098, 2, 1352, 0, 1113579
heal, 12, 3, Atonement, 81751, 1, 147, , 1113653
removebuff, 52, 3, Arcane Brilliance, 1459, , , , 1113757
refreshbuff, 18, 3, Legacy of the White Tiger, 116781, , , , 1113757
cast, 56, 3, Melee, 1, , , , 1113805
absorbed, 3, 3, Stance of the Sturdy Ox, 115069, , 78775, , 1113805
damage, 56, 3, Melee, 1, 1, 64861, 78775, 1113808
cast, 3, 56, Blackout Kick, 100784, , , , 1113944
damage, 3, 56, Blackout Kick, 100784, 2, 22697, 0, 1113945
energize, 3, 3, Serenity, 157558, , 2, , 1113945
heal, 12, 3, Atonement, 81751, 1, 147, , 1114273
heal, 12, 3, Atonement, 81751, 1, 44, , 1114273
removedebuff, 3, 3, Light Stagger, 124275, , , , 1114302
applydebuff, 3, 3, Moderate Stagger, 124274, , , , 1114304
applybuff, , 3, Mark of Blackrock, 159679, , , , 1114307
damage, 3, 3, Stagger, 124255, 1, 13434, 0, 1114309
removebuff, 53, 3, Power Word: Fortitude, 21562, , , , 1114392
applybuff, 12, 3, Power Word: Fortitude, 21562, , , , 1114393
heal, 11, 3, Beacon of Light, 53652, 1, 592, , 1114445
heal, 3, 3, Leech, 143924, 1, 640, , 1114510
heal, 2, 3, Ysera's Gift, 145110, 1, 12797, , 1114805
cast, 3, 56, Blackout Kick, 100784, , , , 1114865
energize, 3, 3, Serenity, 157558, , 2, , 1114866
damage, 3, 56, Blackout Kick, 100784, 1, 12396, 0, 1114868
cast, 3, 56, Melee, 1, , , , 1114908
damage, 3, 56, Melee, 1, 1, 6420, 0, 1114925
heal, 12, 3, Atonement, 81751, 1, 44, , 1114925
removedebuff, 12, 3, Weakened Soul, 6788, , , , 1115033
removedebuff, 3, 3, Moderate Stagger, 124274, , , , 1115150
cast, 3, , Purifying Brew, 119582, , , , 1115155
energize, 3, 3, Serenity, 157558, , 1, , 1115178
cast, 56, 3, Melee, 1, , , , 1115324
damage, 56, 3, Melee, 1, 7, 0, 0, 1115324
cast, 11, 3, Eternal Flame, 114163, , , , 1115353
applybuff, 11, 3, Eternal Flame, 156322, , , , 1115358
heal, 11, 3, Eternal Flame, 114163, 1, 34350, , 1115360
heal, 12, 3, Cascade, 121148, 1, 6916, , 1115360
applybuff, 11, 3, Illuminated Healing, 86273, , , , 1115384
heal, 3, 3, Zen Sphere, 124081, 1, 2143, , 1115582
heal, 12, 3, Atonement, 81751, 1, 146, , 1115582
damage, 3, 57, Zen Sphere, 124098, 2, 1488, 0, 1115583
heal, 11, 3, Beacon of Light, 53652, 1, 592, , 1115610
heal, 3, 3, Leech, 143924, 1, 385, , 1115710
heal, 12, 3, Atonement, 81751, 1, 51, , 1115808
heal, 12, 3, Atonement, 81751, 1, 15, , 1115808
cast, 3, 56, Blackout Kick, 100784, , , , 1115865
damage, 3, 56, Blackout Kick, 100784, 1, 12506, 0, 1115865
energize, 3, 3, Serenity, 157558, , 2, , 1115866
removebuff, 3, 3, Elusive Brew, 128939, , , , 1116056
applybuff, 3, 3, Elusive Brew, 115308, , , , 1116058
cast, 3, , Elusive Brew, 115308, , , , 1116060
cast, 3, 56, Melee, 1, , , , 1116391
damage, 3, 56, Melee, 1, 1, 6365, 0, 1116391
removebuff, 3, 3, Serenity, 152173, , , , 1116527
heal, 11, 3, Eternal Flame, 156322, 2, 2606, , 1116537
refreshbuff, 11, 3, Illuminated Healing, 86273, , , , 1116577
heal, 11, 3, Beacon of Light, 53652, 1, 592, , 1116804
cast, 56, 3, Melee, 1, , , , 1116832
damage, 56, 3, Melee, 1, 8, 0, 0, 1116832
cast, 3, 56, Blackout Kick, 100784, , , , 1116862
damage, 3, 56, Blackout Kick, 100784, 1, 12334, 0, 1116895
heal, 3, 3, Leech, 143924, 1, 536, , 1116919
cast, 11, 3, Holy Light, 82326, , , , 1116944
heal, 11, 3, Holy Light, 82326, 1, 32529, , 1116944
refreshbuff, 11, 3, Illuminated Healing, 86273, , , , 1116970
heal, 12, 3, Cascade, 121148, 1, 6547, , 1117026
heal, 12, 3, Cascade, 121148, 1, 1964, ms, 1117026
cast, 3, , Gift of the Ox, 178173, , , , 1117235
applybuff, 3, 3, Tiger Strikes, 120273, , , , 1117272
cast, 3, 56, Melee, 1, , , , 1117275
damage, 3, 56, Melee, 1, 1, 6303, 0, 1117275
damage, 3, 56, Melee, 1, 2, 3814, ms, 1117296
cast, 3, , Gift of the Ox, 124503, , , , 1117296
heal, 3, 3, Zen Sphere, 124081, 2, 4150, , 1117579
damage, 3, 56, Zen Sphere, 124098, 1, 744, 0, 1117579
heal, 12, 3, Cascade, 121148, 2, 6771, , 1117636
heal, 12, 3, Cascade, 121148, 1, 2031, ms, 1117636
applybuff, 12, 3, Divine Aegis, 47753, , , , 1117664
heal, 11, 3, Eternal Flame, 156322, 2, 2606, , 1117715
refreshbuff, 11, 3, Illuminated Healing, 86273, , , , 1117799
energize, 3, 3, Keg Smash, 127796, , 2, , 1117882
cast, 3, , Keg Smash, 121253, , , , 1117888
heal, 11, 3, Beacon of Light, 53652, 1, 592, , 1118000
damage, 3, 57, Keg Smash, 121253, 2, 43232, 0, 1118082
damage, 3, 56, Keg Smash, 121253, 1, 22116, 0, 1118082
heal, 3, 3, Leech, 143924, 1, 1377, , 1118150
damage, 3, 56, Keg Smash, 121253, 1, 6635, ms, 1118431
cast, 11, 3, Holy Light, 82326, , , , 1118493
heal, 11, 3, Holy Light, 82326, 1, 29313, , 1118493
refreshbuff, 11, 3, Illuminated Healing, 86273, , , , 1118533
heal, 1, 3, Healing Rain, 73921, 1, 0, , 1118783
cast, 3, 56, Melee, 1, , , , 1118810
damage, 3, 56, Melee, 1, 1, 6410, 0, 1118810
cast, 3, 56, Blackout Kick, 100784, , , , 1118896
damage, 3, 56, Blackout Kick, 100784, 1, 12145, 0, 1118897
heal, 11, 3, Eternal Flame, 156322, 2, 0, , 1118897
refreshbuff, 11, 3, Illuminated Healing, 86273, , , , 1118929
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1118990
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1119165
damage, 3, 56, Blackout Kick, 100784, 1, 3643, ms, 1119247
heal, 3, 3, Leech, 143924, 1, 0, , 1119366
heal, 3, 3, Zen Sphere, 124081, 1, 0, , 1119584
heal, 3, 3, Zen Sphere, 124081, 1, 0, ms, 1119584
heal, 3, 3, Zen Sphere, 124081, 1, 0, ms, 1119584
heal, 3, 3, Zen Sphere: Detonate, 124101, 2, 0, , 1119610
heal, 3, 3, Zen Sphere: Detonate, 124101, 2, 0, ms, 1119610
heal, 3, 3, Zen Sphere: Detonate, 124101, 1, 0, ms, 1119610
removebuff, 3, 3, Zen Sphere, 124081, , , , 1119611
damage, 3, 56, Zen Sphere, 124098, 2, 1488, 0, 1119613
damage, 3, 57, Zen Sphere: Detonate, 125033, 1, 9786, 0, 1119613
damage, 3, 56, Zen Sphere: Detonate, 125033, 2, 19572, 0, 1119613
heal, 3, 61, Zen Sphere: Detonate, 124101, 2, 0, , 1119613
heal, 3, 61, Zen Sphere: Detonate, 124101, 1, 0, ms, 1119613
heal, 3, 61, Zen Sphere: Detonate, 124101, 2, 0, ms, 1119613
heal, 3, 10, Zen Sphere: Detonate, 124101, 2, 0, , 1119613
heal, 3, 10, Zen Sphere: Detonate, 124101, 1, 0, ms, 1119613
heal, 3, 10, Zen Sphere: Detonate, 124101, 2, 0, ms, 1119614
heal, 3, 10, Zen Sphere: Detonate, 124101, 1, 0, , 1119614
heal, 3, 10, Zen Sphere: Detonate, 124101, 1, 0, ms, 1119614
heal, 3, 10, Zen Sphere: Detonate, 124101, 2, 0, , 1119614
heal, 3, 10, Zen Sphere: Detonate, 124101, 2, 0, , 1119614
heal, 3, 58, Zen Sphere: Detonate, 124101, 2, 0, , 1119614
heal, 3, 58, Zen Sphere: Detonate, 124101, 2, 0, ms, 1119614
heal, 3, 58, Zen Sphere: Detonate, 124101, 2, 0, ms, 1119614
refreshbuff, 3, 3, Tiger Power, 125359, , , , 1119884
cast, 3, 56, Tiger Palm, 100787, , , , 1119885
damage, 3, 56, Tiger Palm, 100787, 1, 6751, 0, 1119886
damage, 3, 56, Zen Sphere: Detonate, 125033, 2, 5872, ms, 1119948
heal, 1, 3, Healing Rain, 73921, 1, 0, , 1120065
heal, 11, 3, Eternal Flame, 156322, 1, 0, , 1120100
refreshbuff, 11, 3, Illuminated Healing, 86273, , , , 1120121
damage, 56, 3, Skullcracker, 153470, 7, 0, 0, 1120265
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1120348
heal, 3, 3, Leech, 143924, 1, 0, , 1120588
refreshbuff, 3, 3, Tiger Power, 125359, , , , 1120904
cast, 3, 56, Tiger Palm, 100787, , , , 1120905
damage, 3, 56, Tiger Palm, 100787, 2, 13416, 0, 1120906
applydebuff, 57, 3, Aftershock, 157853, , , , 1121012
cast, 3, 56, Melee, 1, , , , 1121111
damage, 3, 56, Melee, 1, 2, 12578, 0, 1121111
damage, 3, 56, Melee, 1, 1, 1911, ms, 1121111
applybuff, 3, 3, Elusive Brew, 128939, , , , 1121112
applybuffstack, 3, 3, Elusive Brew, 128939, , 2, , 1121115
applybuffstack, 3, 3, Elusive Brew, 128939, , 3, , 1121115
cast, 3, , Gift of the Ox, 124506, , , , 1121116
cast, 56, 3, Melee, 1, , , , 1121136
damage, 56, 3, Melee, 1, 8, 0, 0, 1121136
damage, 3, 56, Tiger Palm, 100787, 1, 2013, ms, 1121239
heal, 1, 3, Healing Rain, 73921, 1, 0, , 1121269
heal, 1, 3, Healing Rain, 73921, 2, 0, ms, 1121269
heal, 11, 3, Eternal Flame, 156322, 1, 0, , 1121272
refreshbuff, 11, 3, Illuminated Healing, 86273, , , , 1121296
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1121520
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1121543
cast, 3, , Gift of the Ox, 178173, , , , 1121576
cast, 3, , Gift of the Ox, 178173, , , , 1121577
heal, 3, 3, Leech, 143924, 1, 0, , 1121801
applybuff, 3, 3, Zen Sphere, 124081, , , , 1121904
cast, 3, 3, Zen Sphere, 124081, , , , 1121906
cast, 3, 56, Melee, 1, , , , 1121970
damage, 3, 56, Melee, 1, 2, 12195, 0, 1121970
damage, 3, 56, Melee, 1, 1, 1906, ms, 1121970
applybuffstack, 3, 3, Elusive Brew, 128939, , 4, , 1121971
applybuffstack, 3, 3, Elusive Brew, 128939, , 5, , 1121972
cast, 3, , Gift of the Ox, 124503, , , , 1121992
heal, 11, 3, Eternal Flame, 156322, 2, 0, , 1122457
refreshbuff, 11, 3, Illuminated Healing, 86273, , , , 1122486
heal, 1, 3, Healing Rain, 73921, 1, 0, , 1122526
heal, 1, 3, Healing Rain, 73921, 1, 0, ms, 1122526
cast, 56, 3, Melee, 1, , , , 1122632
damage, 56, 3, Melee, 1, 7, 0, 0, 1122632
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1122733
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1122748
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1122748
heal, 3, 3, Expel Harm, 115072, 1, 0, , 1122909
heal, 3, 3, Expel Harm, 115072, 1, 0, ms, 1122909
energize, 3, 3, Expel Harm, 115072, , 1, , 1122909
cast, 3, , Expel Harm, 115072, , , , 1122911
energize, 3, 3, Chi Sphere, 121283, , 1, , 1122912
removebuff, 3, 3, Power Strikes, 129914, , , , 1122913
heal, 3, 3, Leech, 143924, 1, 0, , 1123038
applydebuff, 3, 3, Light Stagger, 124275, , , , 1123039
absorbed, 3, 3, Stance of the Sturdy Ox, 115069, , 8162, , 1123041
absorbed, 12, 3, Divine Aegis, 47753, , 6721, , 1123041
damage, 57, 3, Aftershock, 157853, 3, 0, 14883, 1123041
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1123162
cast, 3, , Gift of the Ox, 178173, , , , 1123470
cast, 3, 56, Melee, 1, , , , 1123471
damage, 3, 56, Melee, 1, 4, 4354, 1866, 1123501
heal, 11, 3, Eternal Flame, 156322, 1, 0, , 1123646
heal, 11, 3, Eternal Flame, 156322, 1, 0, ms, 1123646
refreshbuff, 11, 3, Illuminated Healing, 86273, , , , 1123708
refreshbuff, 11, 3, Illuminated Healing, 86273, , , , 1123708
heal, 1, 3, Healing Rain, 73921, 1, 0, , 1123766
heal, 1, 3, Healing Rain, 73921, 1, 0, ms, 1123766
applybuff, 3, 3, Power Strikes, 129914, , , , 1123865
heal, 3, 3, Zen Sphere, 124081, 2, 0, , 1123923
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1123924
